nativity,sex,group,year,ASDR_0,ASDR_1,ASDR_2,ASDR_3,ASDR_4,ASDR_5,ASDR_6,ASDR_7,ASDR_8,ASDR_9,ASDR_10,ASDR_11,ASDR_12,ASDR_13,ASDR_14,ASDR_15,ASDR_16,ASDR_17,ASDR_18,ASDR_19,ASDR_20,ASDR_21,ASDR_22,ASDR_23,ASDR_24,ASDR_25,ASDR_26,ASDR_27,ASDR_28,ASDR_29,ASDR_30,ASDR_31,ASDR_32,ASDR_33,ASDR_34,ASDR_35,ASDR_36,ASDR_37,ASDR_38,ASDR_39,ASDR_40,ASDR_41,ASDR_42,ASDR_43,ASDR_44,ASDR_45,ASDR_46,ASDR_47,ASDR_48,ASDR_49,ASDR_50,ASDR_51,ASDR_52,ASDR_53,ASDR_54,ASDR_55,ASDR_56,ASDR_57,ASDR_58,ASDR_59,ASDR_60,ASDR_61,ASDR_62,ASDR_63,ASDR_64,ASDR_65,ASDR_66,ASDR_67,ASDR_68,ASDR_69,ASDR_70,ASDR_71,ASDR_72,ASDR_73,ASDR_74,ASDR_75,ASDR_76,ASDR_77,ASDR_78,ASDR_79,ASDR_80,ASDR_81,ASDR_82,ASDR_83,ASDR_84,ASDR_85,ASDR_86,ASDR_87,ASDR_88,ASDR_89,ASDR_90,ASDR_91,ASDR_92,ASDR_93,ASDR_94,ASDR_95,ASDR_96,ASDR_97,ASDR_98,ASDR_99,ASDR_100
0,0,0,2017,0.005725,0.00029064,0.00024727,0.0002081,0.0001735,0.00014423,0.00012129,0.00010515,0.00009623,0.000095,0.00010206,0.00011815,0.00014395,0.00018004,0.00022655,0.00028278,0.0003469,0.00041634,0.00048799,0.00055846,0.00062477,0.0006846,0.00073665,0.00078104,0.00081903,0.00085223,0.00088227,0.00091044,0.00093801,0.00096613,0.00099589,0.00102825,0.00106399,0.00110397,0.00114894,0.00119962,0.00125696,0.00132268,0.00139912,0.00148854,0.00159297,0.00171457,0.00185522,0.00201704,0.00220229,0.00241282,0.00264898,0.0029105,0.0031969,0.00350748,0.00384112,0.00419757,0.00457639,0.00497803,0.005402,0.005848,0.006313,0.006797,0.0073,0.007827,0.008383,0.00898,0.009625,0.010332,0.011111,0.011976,0.012938,0.014008,0.015199,0.016524,0.017993,0.019621,0.021426,0.023434,0.025675,0.028184,0.031002,0.034174,0.037751,0.041788,0.04642,0.051583,0.057527,0.064289,0.071878,0.08028,0.08942,0.09949,0.11056,0.12269,0.13594,0.15038,0.16606,0.18303,0.2013,0.22091,0.24185,0.26409,0.28761,0.31233,0.38375
0,0,0,2018,0.005671,0.00028874,0.00024482,0.00020582,0.00017158,0.00014267,0.00012006,0.00010415,0.00009533,0.00009405,0.00010084,0.00011646,0.00014154,0.00017673,0.00022216,0.00027713,0.00033974,0.00040741,0.00047715,0.00054572,0.00061024,0.0006684,0.00071891,0.00076185,0.0007985,0.00083046,0.00085942,0.00088667,0.00091344,0.0009408,0.00096981,0.00100135,0.00103624,0.0010753,0.00111929,0.00116891,0.00122505,0.00128941,0.00136421,0.00145167,0.00155375,0.00167265,0.00181026,0.00196871,0.00215021,0.00235652,0.00258784,0.00284385,0.00312404,0.00342779,0.00375411,0.00410309,0.00447446,0.00486885,0.005286,0.005725,0.006183,0.00666,0.007155,0.007672,0.00822,0.008808,0.009446,0.010146,0.01092,0.011779,0.012735,0.013797,0.01498,0.016296,0.017755,0.019373,0.021167,0.023162,0.025388,0.027881,0.030682,0.033836,0.037395,0.041411,0.046044,0.051176,0.057084,0.063803,0.071344,0.07969,0.08878,0.0988,0.1098,0.12187,0.13506,0.14944,0.16505,0.18195,0.20016,0.2197,0.24057,0.26275,0.28621,0.31088,0.38254
0,0,0,2019,0.005618,0.00028685,0.0002424,0.00020355,0.00016968,0.00014112,0.00011884,0.00010316,0.00009445,0.0000931,0.00009964,0.00011479,0.00013918,0.00017347,0.00021785,0.0002716,0.00033272,0.00039868,0.00046655,0.00053327,0.00059604,0.00065259,0.00070159,0.00074314,0.00077849,0.00080924,0.00083716,0.00086352,0.00088951,0.00091614,0.0009444,0.00097516,0.00100922,0.00104738,0.00109041,0.00113898,0.00119396,0.00125698,0.00133018,0.00141572,0.0015155,0.00163176,0.0017664,0.00192154,0.00209936,0.00230154,0.00252811,0.00277873,0.00305285,0.00334991,0.00366907,0.00401074,0.0043748,0.00476207,0.005172,0.005605,0.006056,0.006525,0.007012,0.007521,0.00806,0.008639,0.00927,0.009964,0.010731,0.011585,0.012534,0.01359,0.014765,0.016071,0.017521,0.019128,0.020911,0.022893,0.025105,0.027581,0.030365,0.033502,0.037042,0.041038,0.045671,0.050773,0.056644,0.06332,0.070814,0.07911,0.08815,0.09811,0.10906,0.12106,0.13419,0.1485,0.16405,0.18088,0.19902,0.21849,0.2393,0.26142,0.28482,0.30944,0.38134
0,0,0,2020,0.005565,0.00028497,0.00024,0.00020132,0.0001678,0.00013958,0.00011762,0.00010218,0.00009357,0.00009217,0.00009845,0.00011314,0.00013685,0.00017028,0.00021363,0.00026618,0.00032585,0.00039012,0.00045619,0.00052111,0.00058218,0.00063715,0.0006847,0.00072489,0.00075898,0.00078856,0.00081548,0.00084097,0.00086622,0.00089212,0.00091966,0.00094966,0.0009829,0.00102019,0.00106227,0.00110982,0.00116365,0.00122536,0.001297,0.00138066,0.00147819,0.00159187,0.00172359,0.0018755,0.00204971,0.00224785,0.00246976,0.0027151,0.00298327,0.00327381,0.00358596,0.00392046,0.00427737,0.00465763,0.005061,0.005487,0.005932,0.006393,0.006873,0.007373,0.007902,0.008473,0.009097,0.009784,0.010547,0.011395,0.012337,0.013385,0.014552,0.015849,0.01729,0.018886,0.020658,0.022628,0.024825,0.027285,0.030052,0.033171,0.036692,0.040668,0.045301,0.050373,0.056208,0.062841,0.070287,0.07853,0.08752,0.09742,0.10832,0.12026,0.13333,0.14757,0.16305,0.17981,0.19788,0.21729,0.23803,0.2601,0.28344,0.30801,0.38014
0,0,0,2021,0.005513,0.00028311,0.00023763,0.0001991,0.00016594,0.00013807,0.00011643,0.00010121,0.0000927,0.00009124,0.00009728,0.00011152,0.00013457,0.00016714,0.00020948,0.00026086,0.00031913,0.00038176,0.00044606,0.00050922,0.00056864,0.00062207,0.00066821,0.00070708,0.00073995,0.00076842,0.00079436,0.00081902,0.00084353,0.00086874,0.00089557,0.00092482,0.00095726,0.0009937,0.00103486,0.0010814,0.00113412,0.00119453,0.00126465,0.00134646,0.0014418,0.00155296,0.00168182,0.00183056,0.00200124,0.0021954,0.00241276,0.00265292,0.00291529,0.00319943,0.00350473,0.00383222,0.0041821,0.00455548,0.004952,0.005372,0.00581,0.006264,0.006736,0.007228,0.007748,0.008311,0.008927,0.009609,0.010365,0.011207,0.012143,0.013184,0.014343,0.015631,0.017061,0.018648,0.020408,0.022365,0.024548,0.026992,0.029741,0.032843,0.036346,0.040301,0.044934,0.049976,0.055774,0.062366,0.069765,0.07796,0.08689,0.09674,0.10758,0.11946,0.13247,0.14665,0.16206,0.17875,0.19676,0.2161,0.23677,0.25878,0.28207,0.30658,0.37894
0,0,0,2022,0.005462,0.00028126,0.00023528,0.00019692,0.0001641,0.00013657,0.00011524,0.00010025,0.00009184,0.00009033,0.00009612,0.00010992,0.00013232,0.00016406,0.00020542,0.00025565,0.00031254,0.00037357,0.00043615,0.00049761,0.00055541,0.00060735,0.00065212,0.00068971,0.00072141,0.00074878,0.00077379,0.00079763,0.00082143,0.00084596,0.00087211,0.00090063,0.0009323,0.0009679,0.00100816,0.00105372,0.00110533,0.00116449,0.0012331,0.00131312,0.0014063,0.00151499,0.00164107,0.0017867,0.00195391,0.00214418,0.00235708,0.00259217,0.00284885,0.00312674,0.00342534,0.00374596,0.00408896,0.00445557,0.004846,0.005259,0.00569,0.006138,0.006602,0.007086,0.007597,0.008152,0.008761,0.009436,0.010186,0.011023,0.011952,0.012986,0.014136,0.015415,0.016836,0.018412,0.020161,0.022106,0.024274,0.026702,0.029434,0.032518,0.036002,0.039938,0.04457,0.049582,0.055345,0.061894,0.069246,0.07739,0.08627,0.09607,0.10685,0.11867,0.13161,0.14573,0.16107,0.1777,0.19564,0.21491,0.23552,0.25746,0.2807,0.30516,0.37774
0,0,0,2023,0.005411,0.00027942,0.00023295,0.00019475,0.00016228,0.00013508,0.00011407,0.0000993,0.00009098,0.00008942,0.00009498,0.00010835,0.00013011,0.00016104,0.00020144,0.00025054,0.00030608,0.00036556,0.00042646,0.00048626,0.00054249,0.00059298,0.00063641,0.00067277,0.00070333,0.00072965,0.00075374,0.00077681,0.00079992,0.00082379,0.00084927,0.00087708,0.00090798,0.00094277,0.00098214,0.00102674,0.00107727,0.00113519,0.00120234,0.00128059,0.00137168,0.00147795,0.0016013,0.00174389,0.0019077,0.00209416,0.00230268,0.00253281,0.00278392,0.0030557,0.00334775,0.00366165,0.00399788,0.00435785,0.004741,0.005148,0.005573,0.006014,0.006471,0.006946,0.007449,0.007996,0.008598,0.009266,0.010011,0.010841,0.011764,0.012791,0.013933,0.015203,0.016614,0.018179,0.019917,0.021849,0.024003,0.026415,0.02913,0.032197,0.035663,0.039578,0.044209,0.049192,0.054918,0.061426,0.068732,0.07683,0.08566,0.0954,0.10612,0.11788,0.13076,0.14481,0.16009,0.17665,0.19452,0.21373,0.23428,0.25616,0.27933,0.30375,0.37655
0,0,0,2024,0.00536,0.0002776,0.00023064,0.00019261,0.00016048,0.00013362,0.0001129,0.00009835,0.00009013,0.00008852,0.00009385,0.0001068,0.00012793,0.00015808,0.00019753,0.00024554,0.00029976,0.00035772,0.00041699,0.00047517,0.00052988,0.00057895,0.00062109,0.00065625,0.0006857,0.00071101,0.00073422,0.00075653,0.00077897,0.00080219,0.00082702,0.00085414,0.0008843,0.00091829,0.0009568,0.00100045,0.00104993,0.00110664,0.00117235,0.00124888,0.00133791,0.00144182,0.00156249,0.0017021,0.00186258,0.0020453,0.00224953,0.00247481,0.00272048,0.00298628,0.00327192,0.00357923,0.00390884,0.00426227,0.004639,0.00504,0.005458,0.005893,0.006342,0.00681,0.007304,0.007843,0.008437,0.0091,0.009838,0.010663,0.011579,0.012598,0.013732,0.014993,0.016395,0.01795,0.019677,0.021596,0.023736,0.026131,0.028829,0.031878,0.035326,0.039221,0.043851,0.048804,0.054495,0.060962,0.068221,0.07627,0.08505,0.09473,0.1054,0.1171,0.12992,0.1439,0.15912,0.17561,0.19341,0.21255,0.23304,0.25486,0.27798,0.30234,0.37536
0,0,0,2025,0.00531,0.00027578,0.00022836,0.00019049,0.0001587,0.00013216,0.00011175,0.00009742,0.0000893,0.00008763,0.00009273,0.00010526,0.0001258,0.00015517,0.0001937,0.00024064,0.00029358,0.00035004,0.00040773,0.00046433,0.00051755,0.00056526,0.00060613,0.00064013,0.00066851,0.00069285,0.00071521,0.00073678,0.00075856,0.00078116,0.00080536,0.0008318,0.00086124,0.00089445,0.00093211,0.00097483,0.00102328,0.0010788,0.00114311,0.00121795,0.00130497,0.00140658,0.00152463,0.00166132,0.00181853,0.00199758,0.00219761,0.00241813,0.00265848,0.00291843,0.0031978,0.00349866,0.00382178,0.0041688,0.00454,0.004934,0.005346,0.005774,0.006216,0.006676,0.007162,0.007692,0.00828,0.008936,0.009669,0.010487,0.011397,0.012409,0.013534,0.014786,0.016178,0.017723,0.019438,0.021345,0.023471,0.02585,0.028532,0.031563,0.034992,0.038867,0.043496,0.04842,0.054075,0.060501,0.067714,0.07571,0.08444,0.09407,0.10468,0.11633,0.12908,0.143,0.15815,0.17457,0.19231,0.21139,0.23181,0.25357,0.27663,0.30094,0.37418
0,0,0,2026,0.005261,0.00027398,0.0002261,0.0001884,0.00015694,0.00013073,0.00011062,0.00009649,0.00008847,0.00008675,0.00009162,0.00010376,0.00012369,0.00015231,0.00018995,0.00023583,0.00028751,0.00034254,0.00039868,0.00045374,0.00050551,0.00055188,0.00059153,0.0006244,0.00065176,0.00067515,0.00069668,0.00071754,0.0007387,0.00076068,0.00078426,0.00081004,0.00083878,0.00087122,0.00090806,0.00094987,0.00099731,0.00105167,0.00111459,0.00118778,0.00127285,0.00137219,0.00148768,0.00162151,0.00177553,0.00195098,0.00214689,0.00236276,0.0025979,0.00285213,0.00312536,0.00341992,0.00373666,0.00407737,0.004442,0.00483,0.005236,0.005657,0.006092,0.006544,0.007022,0.007545,0.008126,0.008775,0.009502,0.010315,0.011218,0.012222,0.01334,0.014583,0.015964,0.017499,0.019203,0.021098,0.023209,0.025572,0.028237,0.031251,0.034662,0.038517,0.043144,0.048038,0.053658,0.060043,0.067211,0.07516,0.08384,0.09342,0.10397,0.11555,0.12824,0.1421,0.15719,0.17355,0.19122,0.21023,0.23058,0.25228,0.27528,0.29954,0.373
